USStreet,USCity,USState,USStateID,Date
Camelback Rd,Richmond,Arkansas,NJ,18-08-2007
Castillo Drive,Sacramento,Arkansas,WA,14-02-2008
Lindbergh Blvd,Salem,Arkansas,WA,09-07-2008
Santa Rosa South,Salt Lake City,Arkansas,AK,29-05-2007
Monroe Street,Santa Fe,Arkansas,WY,20-06-2008
North Atherton Street,Santa Fe,Arkansas,NE,06-08-2008
Padre Boulevard,Tallahassee,Arkansas,TX,13-02-2008
Richmond Hill,Topeka,Arkansas,NY,29-12-2008
East 1st Street,Annapolis,California,NV,13-06-2008
N Kentwood,Austin,California,NC,25-05-2007
San Diego Freeway,Cheyenne,California,HI,09-03-2007
Cerrillos Road,Columbus,California,CO,15-04-2007
N Kentwood,Columbus,California,MN,03-02-2008
Westside Freeway,Denver,California,OR,18-06-2007
El Camino Real,Dover,California,OK,24-08-2007
Harbor Dr,Hartford,California,CT,03-01-2007
San Luis Obispo North,Indianapolis,California,NE,05-12-2007
Santa Ana Freeway,Jackson,California,HI,29-05-2007
Bailard Avenue,Jackson,California,NE,04-04-2007
Cabrillo Highway,Lincoln,California,NV,26-07-2007
North Erringer Road,Oklahoma City,California,NH,30-01-2008
N Kentwood,Sacramento,California,SD,24-10-2008
Apalachee Parkway,Sacramento,California,MN,20-12-2007
Harbor Dr,Salem,California,WA,26-02-2008
San Luis Obispo North,Springfield,California,NV,29-07-2007
El Camino Real,Topeka,California,ME,09-09-2007
N Kentwood,Trenton,California,SD,06-08-2008
Grandview Drive,Albany,Colorado,IA,29-10-2008
San Diego Freeway,Austin,Colorado,TX,30-12-2008
Jones Road,Baton Rouge,Colorado,AZ,19-08-2007
San Simeon,Bismarck,Colorado,MI,11-09-2007
Cleveland Ave.,Carson City,Colorado,TX,28-06-2008
Corona Del Mar,Columbia,Colorado,AL,24-12-2007
Newbury Road,Columbia,Colorado,MD,30-10-2007
Timberlane Drive,Columbus,Colorado,ME,26-07-2008
Burnett Road,Frankfort,Colorado,NJ,26-02-2007
East Fry Blvd.,Jefferson City,Colorado,MO,07-03-2007
Castillo Drive,Juneau,Colorado,OK,22-08-2008
San Luis Obispo North,Lincoln,Colorado,KY,10-04-2008
Lake Tahoe Blvd.,Madison,Colorado,KS,31-10-2008
San Ysidro Blvd,Madison,Colorado,AK,13-02-2008
Bayshore Freeway,Oklahoma City,Colorado,AK,10-03-2008
Newbury Road,Pierre,Colorado,KS,01-09-2008
Greenwood Road,Providence,Colorado,UT,19-03-2008
Camelback Rd,Raleigh,Colorado,TX,21-10-2008
Santa Monica Road,Sacramento,Colorado,IL,16-02-2007
Timberlane Drive,Springfield,Colorado,WY,05-04-2008
Pacific Hwy S,Topeka,Colorado,VA,09-07-2007
Tully Road East,Trenton,Colorado,CT,08-09-2007
Via Real,Annapolis,Connecticut,NC,22-07-2007
North Preisker Lane,Annapolis,Connecticut,NV,28-06-2007
Tully Road East,Atlanta,Connecticut,TX,16-02-2007
South Highway,Atlanta,Connecticut,CA,19-08-2007
Jean de la Fontaine,Columbus,Connecticut,WY,26-07-2007
Grandview Drive,Des Moines,Connecticut,MS,23-02-2007
Westside Freeway,Dover,Connecticut,RI,04-04-2008
N Kentwood,Little Rock,Connecticut,MO,26-12-2008
Cleveland Ave.,Nashville,Connecticut,SD,18-06-2008
Westside Freeway,Nashville,Connecticut,NC,26-07-2008
Cerrillos Road,Olympia,Connecticut,OK,15-03-2007
Lake Tahoe Blvd.,Olympia,Connecticut,GA,20-02-2007
Lake Tahoe Blvd.,Phoenix,Connecticut,OH,05-03-2007
San Ysidro Blvd,Pierre,Connecticut,LA,18-02-2008
Apalachee Parkway,Pierre,Connecticut,NY,21-11-2008
Katella Avenue,Raleigh,Connecticut,AK,22-03-2007
Cerrillos Road,Salt Lake City,Connecticut,KS,23-10-2007
Fontaine Road,Springfield,Connecticut,UT,16-03-2008
N Harrison St,Topeka,Connecticut,ID,23-06-2008
Carpinteria North,Atlanta,Delaware,WA,13-05-2008
San Diego Freeway,Augusta,Delaware,AZ,19-06-2008
Corona Del Mar,Baton Rouge,Delaware,AK,12-07-2007
Santa Rosa North,Charleston,Delaware,NH,13-04-2008
North Ventu Park Road,Columbus,Delaware,ID,14-10-2007
French Camp Turnpike Road,Frankfort,Delaware,IA,21-05-2007
Bailard Avenue,Frankfort,Delaware,NH,29-04-2007
Apalachee Parkway,Hartford,Delaware,OH,30-11-2007
Santa Rosa South,Honolulu,Delaware,VT,10-06-2007
Grandview Drive,Indianapolis,Delaware,AR,08-09-2007
San Marcos,Jackson,Delaware,NE,19-03-2007
S Rustle St,Lincoln,Delaware,AR,26-04-2008
Monroe Street,Little Rock,Delaware,NY,19-10-2008
Lake Tahoe Blvd.,Little Rock,Delaware,NE,26-06-2007
Bailard Avenue,Montpelier,Delaware,NH,15-01-2008
San Marcos,Oklahoma City,Delaware,CT,22-12-2007
South Highway,Providence,Delaware,NH,23-12-2007
Newbury Road,Sacramento,Delaware,NC,13-03-2008
North Atherton Street,Sacramento,Delaware,WI,30-11-2008
Via Real,Salt Lake City,Delaware,LA,02-03-2008
Lake Tahoe Blvd.,Santa Fe,Delaware,TN,08-06-2007
San Simeon,Springfield,Delaware,RI,08-03-2008
Burnett Road,Topeka,Delaware,IA,11-12-2008
Lindbergh Blvd,Annapolis,Florida,ND,22-03-2008
Carpinteria South,Atlanta,Florida,WA,18-03-2007
North Atherton Street,Bismarck,Florida,ME,14-10-2007
Westside Freeway,Denver,Florida,CA,30-12-2007
Lindbergh Blvd,Frankfort,Florida,ND,22-09-2008
East 1st Street,Hartford,Florida,AZ,24-09-2008
Castillo Drive,Hartford,Florida,CT,16-01-2008
Richmond Hill,Honolulu,Florida,OH,23-08-2008
W. Russell St.,Little Rock,Florida,IL,12-04-2008
Carpinteria North,Madison,Florida,MT,09-11-2008
Harbor Dr,Nashville,Florida,NV,13-06-2007
Via Real,Phoenix,Florida,AK,27-08-2008
Harry S Truman Blvd,Providence,Florida,TN,15-05-2008
Castillo Drive,Raleigh,Florida,HI,25-01-2007
Katella Avenue,Raleigh,Florida,DE,16-07-2007
Carpinteria Avenue,Annapolis,Georgia,KY,27-10-2007
Carpinteria Avenue,Annapolis,Georgia,VT,20-09-2007
East Fry Blvd.,Baton Rouge,Georgia,NM,18-03-2008
N Kentwood,Baton Rouge,Georgia,SC,18-06-2007
Newbury Road,Carson City,Georgia,NJ,15-10-2007
South Roosevelt Drive,Columbus,Georgia,MO,06-02-2007
East Main Street,Concord,Georgia,NJ,25-09-2007
Monroe Street,Dover,Georgia,RI,22-03-2008
Milpas Street,Dover,Georgia,NC,03-05-2008
Lindbergh Blvd,Frankfort,Georgia,ID,30-10-2007
San Luis Obispo North,Harrisburg,Georgia,NV,10-04-2007
Apalachee Parkway,Hartford,Georgia,NJ,17-11-2008
Padre Boulevard,Oklahoma City,Georgia,FL,07-11-2007
Carpinteria South,Phoenix,Georgia,CT,07-12-2008
Corona Del Mar,Raleigh,Georgia,SC,01-11-2007
San Marcos,Sacramento,Georgia,KY,30-06-2007
Moreno Drive,Salt Lake City,Georgia,WI,02-11-2007
Greenwood Road,Tallahassee,Georgia,CA,29-04-2007
Jones Road,Trenton,Georgia,WA,08-11-2008
Fairview Avenue,Trenton,Georgia,VA,19-08-2008
Cabrillo Highway,Atlanta,Hawaii,OH,11-02-2007
Lawrenceville Suwanee,Augusta,Hawaii,RI,14-06-2007
North Erringer Road,Baton Rouge,Hawaii,KY,03-12-2007
South Highway,Carson City,Hawaii,KS,09-04-2007
Grandview Drive,Concord,Hawaii,IN,08-07-2007
Burnett Road,Jefferson City,Hawaii,KS,05-10-2008
Cleveland Ave.,Jefferson City,Hawaii,ME,03-01-2008
San Marcos,Nashville,Hawaii,NY,23-01-2008
Bailard Avenue,Oklahoma City,Hawaii,VA,18-04-2008
Newbury Road,Phoenix,Hawaii,ID,24-07-2008
Santa Monica Road,Pierre,Hawaii,GA,16-03-2007
Redwood Highway,Sacramento,Hawaii,SD,15-12-2007
Lawrenceville Suwanee,Santa Fe,Hawaii,NC,06-08-2007
Woodson Rd.,Augusta,Idaho,GA,12-08-2008
Santa Rosa South,Austin,Idaho,MI,10-01-2008
South Highway,Boise,Idaho,VT,02-07-2007
Lindbergh Blvd,Columbia,Idaho,TX,25-09-2008
Carpinteria North,Columbus,Idaho,MO,03-01-2007
Moreno Drive,Denver,Idaho,CT,25-07-2007
Carpinteria North,Denver,Idaho,MS,11-07-2007
Santa Ana Freeway,Des Moines,Idaho,NE,17-10-2007
Tanger Blvd,Dover,Idaho,FL,30-11-2007
Katella Avenue,Jackson,Idaho,GA,15-07-2007
Bailard Avenue,Jackson,Idaho,ME,08-11-2007
Bailard Avenue,Providence,Idaho,OK,09-10-2007
Greenwood Road,Providence,Idaho,MO,10-02-2007
Lawrenceville Suwanee,Providence,Idaho,WA,03-10-2007
Redwood Highway,Raleigh,Idaho,PA,05-04-2008
French Camp Turnpike Road,Saint Paul,Idaho,IL,31-08-2008
Lawrenceville Suwanee,Tallahassee,Idaho,NY,25-03-2007
Cleveland Ave.,Augusta,Illinois,IA,07-02-2007
S Rustle St,Austin,Illinois,CA,05-12-2007
East Main Street,Baton Rouge,Illinois,CO,13-09-2008
East 1st Street,Boise,Illinois,GA,31-10-2007
Tanger Blvd,Boise,Illinois,SD,03-02-2008
North Preisker Lane,Columbia,Illinois,NC,16-03-2007
Fairview Avenue,Columbia,Illinois,FL,15-11-2007
Bailard Avenue,Concord,Illinois,LA,06-09-2008
Cleveland Ave.,Harrisburg,Illinois,MD,16-04-2007
Lindbergh Blvd,Helena,Illinois,NJ,03-09-2008
Greenwood Road,Indianapolis,Illinois,CT,10-08-2008
Castillo Drive,Jackson,Illinois,IN,24-11-2007
San Diego Freeway,Jackson,Illinois,MI,30-09-2007
Fontaine Road,Nashville,Illinois,IN,16-01-2007
Cabrillo Highway,Nashville,Illinois,KY,04-05-2008
East Fry Blvd.,Oklahoma City,Illinois,VA,02-05-2007
Santa Monica Road,Richmond,Illinois,MD,25-12-2007
North Broadway Street,Richmond,Illinois,IL,24-08-2007
North Broadway Street,Springfield,Illinois,MS,27-07-2008
Timberlane Drive,Albany,Indiana,WI,22-11-2007
W. Russell St.,Annapolis,Indiana,MO,08-05-2007
Corona Del Mar,Augusta,Indiana,PA,15-01-2008
Cerrillos Road,Baton Rouge,Indiana,UT,16-01-2008
Pacific Hwy S,Baton Rouge,Indiana,NM,24-03-2008
Grandview Drive,Bismarck,Indiana,MO,22-12-2007
San Ysidro Blvd,Boston,Indiana,UT,27-10-2008
Santa Ana Freeway,Dover,Indiana,CA,30-01-2008
Fontaine Road,Hartford,Indiana,LA,16-12-2008
Steele Lane,Hartford,Indiana,WI,10-10-2007
East 1st Street,Jackson,Indiana,WI,28-03-2007
East Main Street,Jefferson City,Indiana,IL,18-06-2007
W. Russell St.,Lansing,Indiana,MI,28-08-2008
Apalachee Parkway,Madison,Indiana,ME,17-05-2008
East 1st Street,Phoenix,Indiana,HI,28-08-2007
South Highway,Pierre,Indiana,RI,12-06-2008
Santa Rosa North,Saint Paul,Indiana,RI,17-03-2008
Carpinteria South,Saint Paul,Indiana,MS,30-08-2008
Lindbergh Blvd,Salem,Indiana,ID,25-04-2008
San Luis Obispo North,Tallahassee,Indiana,ME,13-12-2008
S Rustle St,Trenton,Indiana,PA,05-10-2008
Santa Rosa North,Augusta,Iowa,NV,09-07-2007
S Rustle St,Baton Rouge,Iowa,MI,29-11-2008
Cabrillo Highway,Boston,Iowa,VA,02-02-2008
Calle Real,Cheyenne,Iowa,TX,22-08-2008
Cerrillos Road,Cheyenne,Iowa,MN,10-10-2007
Camelback Rd,Frankfort,Iowa,NH,16-06-2007
El Camino Real,Harrisburg,Iowa,VT,05-12-2007
French Camp Turnpike Road,Indianapolis,Iowa,MT,01-03-2007
North Broadway Street,Jackson,Iowa,IL,31-05-2007
Lindbergh Blvd,Little Rock,Iowa,KS,30-10-2007
North Broadway Street,Little Rock,Iowa,DE,18-05-2008
San Luis Obispo North,Oklahoma City,Iowa,NY,14-01-2007
San Luis Obispo North,Phoenix,Iowa,RI,12-12-2008
Harry S Truman Blvd,Phoenix,Iowa,WY,22-05-2008
Timberlane Drive,Saint Paul,Iowa,CO,03-08-2007
Apalachee Parkway,Santa Fe,Iowa,NH,13-09-2007
San Marcos,Springfield,Iowa,CT,30-04-2008
Katella Avenue,Springfield,Iowa,MT,16-06-2007
Milpas Street,Trenton,Iowa,WV,09-03-2008
Carpinteria Avenue,Albany,Kansas,NC,05-02-2008
Corona Del Mar,Annapolis,Kansas,LA,21-03-2007
Erringer Road,Boise,Kansas,IL,24-01-2007
East 1st Street,Cheyenne,Kansas,RI,04-04-2008
East Calle Primera,Frankfort,Kansas,SC,26-02-2007
Lake Tahoe Blvd.,Frankfort,Kansas,GA,11-06-2008
W. Russell St.,Frankfort,Kansas,CT,08-09-2007
Monroe Street,Harrisburg,Kansas,ME,10-01-2008
N Kentwood,Hartford,Kansas,NC,11-09-2007
Bowles Avenue,Helena,Kansas,PA,15-06-2007
Fontaine Road,Jefferson City,Kansas,AL,19-07-2007
East Fry Blvd.,Montpelier,Kansas,SC,07-12-2008
Bailard Avenue,Oklahoma City,Kansas,NV,22-12-2008
Hutchinson Rd,Olympia,Kansas,MI,18-09-2007
Fontaine Road,Pierre,Kansas,OR,25-01-2008
Harbor Dr,Santa Fe,Kansas,SD,05-02-2008
East Main Street,Santa Fe,Kansas,VA,24-02-2007
Castillo Drive,Springfield,Kansas,AZ,21-01-2007
W. Russell St.,Topeka,Kansas,OH,19-07-2008
Padre Boulevard,Trenton,Kansas,VA,30-03-2008
East 1st Street,Trenton,Kansas,SD,02-03-2008
San Ysidro Blvd,Annapolis,Kentucky,WI,08-11-2008
Corona Del Mar,Columbus,Kentucky,SC,01-08-2008
Santa Monica Road,Juneau,Kentucky,IL,30-03-2007
Santa Ana Freeway,Lansing,Kentucky,SD,28-01-2008
E Fowler Avenue,Little Rock,Kentucky,IN,07-01-2008
San Diego Freeway,Little Rock,Kentucky,ND,19-01-2008
Carpinteria South,Montgomery,Kentucky,AZ,22-11-2007
Moreno Drive,Oklahoma City,Kentucky,MO,15-06-2007
Corona Del Mar,Phoenix,Kentucky,OR,14-06-2007
Fontaine Road,Raleigh,Kentucky,IA,21-09-2007
Milpas Street,Santa Fe,Kentucky,OK,18-04-2007
French Camp Turnpike Road,Trenton,Kentucky,IL,11-08-2007
Carpinteria North,Trenton,Kentucky,ND,20-11-2007
Bowles Avenue,Albany,Louisiana,MS,21-07-2007
Greenwood Road,Annapolis,Louisiana,FL,28-11-2008
S Rustle St,Annapolis,Louisiana,WY,15-02-2008
Bayshore Freeway,Boise,Louisiana,CO,10-12-2007
Richmond Hill,Columbia,Louisiana,ID,02-06-2007
North Ventu Park Road,Harrisburg,Louisiana,MS,05-12-2007
Harbor Dr,Hartford,Louisiana,MT,08-12-2008
Tully Road East,Helena,Louisiana,LA,11-12-2008
Castillo Drive,Honolulu,Louisiana,DE,05-11-2008
Santa Rosa North,Jackson,Louisiana,UT,13-06-2008
Carpinteria North,Jefferson City,Louisiana,KY,05-08-2007
North Ventu Park Road,Lincoln,Louisiana,WI,22-08-2008
Fontaine Road,Madison,Louisiana,WY,26-12-2008
Richmond Hill,Montgomery,Louisiana,TN,11-04-2008
Carpinteria Avenue,Oklahoma City,Louisiana,RI,20-08-2008
N Harrison St,Olympia,Louisiana,AR,26-04-2007
Harbor Dr,Phoenix,Louisiana,LA,17-07-2008
Redwood Highway,Providence,Louisiana,CO,13-01-2007
N Kentwood,Richmond,Louisiana,PA,25-06-2008
Steele Lane,Richmond,Louisiana,ND,01-10-2008
Steele Lane,Salem,Louisiana,NH,03-06-2007
Erringer Road,Salt Lake City,Louisiana,NC,09-09-2007
Camelback Rd,Springfield,Louisiana,ID,21-12-2007
San Simeon,Tallahassee,Louisiana,NE,14-05-2007
Tanger Blvd,Tallahassee,Louisiana,MA,17-09-2007
Santa Rosa North,Trenton,Louisiana,NV,18-03-2007
Padre Boulevard,Trenton,Louisiana,AK,11-05-2007
Apalachee Parkway,Atlanta,Maine,KY,08-06-2008
North Ventu Park Road,Austin,Maine,CA,09-03-2007
Pacific Hwy S,Baton Rouge,Maine,NH,28-08-2008
San Marcos,Baton Rouge,Maine,OK,18-07-2007
Newbury Road,Baton Rouge,Maine,GA,20-06-2008
Bayshore Freeway,Baton Rouge,Maine,FL,25-07-2008
S Rustle St,Boston,Maine,WI,09-05-2008
Lake Tahoe Blvd.,Boston,Maine,NE,27-06-2008
Burnett Road,Des Moines,Maine,AZ,14-12-2008
Woodson Rd.,Frankfort,Maine,MA,20-05-2007
East Main Street,Harrisburg,Maine,NH,06-08-2007
Harbor Dr,Madison,Maine,VT,12-12-2007
Greenwood Road,Olympia,Maine,ME,25-02-2007
Timberlane Drive,Olympia,Maine,TN,10-08-2008
Richmond Hill,Pierre,Maine,ID,03-01-2008
W. Russell St.,Topeka,Maine,OR,18-03-2007
South Roosevelt Drive,Topeka,Maine,WV,16-07-2008
Castillo Drive,Trenton,Maine,MT,15-08-2007
Corona Del Mar,Trenton,Maine,AZ,10-03-2007
Santa Rosa South,Augusta,Maryland,LA,07-05-2008
Cabrillo Highway,Columbus,Maryland,DE,21-02-2007
Grandview Drive,Concord,Maryland,WV,28-04-2008
Cleveland Ave.,Indianapolis,Maryland,AZ,04-04-2007
North Atherton Street,Indianapolis,Maryland,NY,28-08-2008
Carpinteria South,Jefferson City,Maryland,NY,17-08-2008
Greenwood Road,Jefferson City,Maryland,GA,05-09-2008
Tully Road East,Juneau,Maryland,IL,14-05-2007
South Roosevelt Drive,Lansing,Maryland,ME,05-12-2007
Burnett Road,Lincoln,Maryland,UT,17-12-2007
Harry S Truman Blvd,Little Rock,Maryland,WV,30-06-2007
Newbury Road,Montpelier,Maryland,IL,04-01-2007
Harbor Dr,Oklahoma City,Maryland,ID,08-08-2007
Via Real,Pierre,Maryland,RI,03-12-2008
Burnett Road,Providence,Maryland,NC,28-03-2007
Grandview Drive,Saint Paul,Maryland,NM,04-04-2008
Castillo Drive,Salem,Maryland,CO,01-03-2007
North Atherton Street,Salt Lake City,Maryland,MS,12-08-2008
Cleveland Ave.,Springfield,Maryland,VT,23-06-2007
San Diego Freeway,Springfield,Maryland,WA,02-01-2007
Cabrillo Highway,Trenton,Maryland,PA,01-08-2008
East Calle Primera,Baton Rouge,Massachusetts,ID,22-02-2007
North Atherton Street,Boise,Massachusetts,IN,16-08-2007
Cleveland Ave.,Boston,Massachusetts,KY,01-07-2008
East Main Street,Boston,Massachusetts,CA,15-05-2007
South Roosevelt Drive,Carson City,Massachusetts,VA,14-09-2008
Lawrenceville Suwanee,Columbia,Massachusetts,AK,19-07-2007
Katella Avenue,Denver,Massachusetts,AL,27-11-2007
Padre Boulevard,Des Moines,Massachusetts,SC,24-10-2007
Grandview Drive,Dover,Massachusetts,KS,28-06-2008
French Camp Turnpike Road,Dover,Massachusetts,WI,03-12-2007
S Rustle St,Harrisburg,Massachusetts,AK,14-01-2007
Padre Boulevard,Harrisburg,Massachusetts,NV,29-05-2008
North Ventu Park Road,Hartford,Massachusetts,IL,06-06-2008
South Highway,Honolulu,Massachusetts,WA,02-07-2008
Tully Road East,Juneau,Massachusetts,UT,06-05-2008
Via Real,Madison,Massachusetts,GA,14-03-2008
Santa Ana Freeway,Montgomery,Massachusetts,IN,10-12-2007
Redwood Highway,Montpelier,Massachusetts,KS,17-06-2007
Bailard Avenue,Phoenix,Massachusetts,VA,11-08-2007
San Luis Obispo North,Sacramento,Massachusetts,KY,07-09-2008
San Ysidro Blvd,Sacramento,Massachusetts,MN,09-08-2007
Redwood Highway,Sacramento,Massachusetts,WV,09-09-2008
San Simeon,Santa Fe,Massachusetts,FL,19-03-2007
Pacific Hwy S,Albany,Michigan,NH,10-01-2007
N Kentwood,Albany,Michigan,NC,28-10-2007
Harbor Dr,Baton Rouge,Michigan,AR,06-12-2008
Grandview Drive,Baton Rouge,Michigan,MT,21-09-2007
Moreno Drive,Carson City,Michigan,HI,19-08-2008
Fairview Avenue,Charleston,Michigan,VA,13-02-2008
Moreno Drive,Columbia,Michigan,IA,13-04-2007
Lawrenceville Suwanee,Hartford,Michigan,MI,17-06-2007
South Highway,Honolulu,Michigan,NC,09-03-2007
Fontaine Road,Honolulu,Michigan,MA,22-01-2007
French Camp Turnpike Road,Indianapolis,Michigan,SD,17-04-2008
El Camino Real,Jackson,Michigan,SC,02-08-2007
French Camp Turnpike Road,Jackson,Michigan,SC,14-05-2007
Tully Road East,Jefferson City,Michigan,TX,01-01-2008
Timberlane Drive,Jefferson City,Michigan,ID,10-03-2008
Cleveland Ave.,Montgomery,Michigan,ID,03-07-2007
Tanger Blvd,Providence,Michigan,OH,30-07-2008
Cleveland Ave.,Raleigh,Michigan,OR,17-01-2007
Newbury Road,Saint Paul,Michigan,NH,16-01-2008
Greenwood Road,Salt Lake City,Michigan,LA,24-08-2008
North Erringer Road,Salt Lake City,Michigan,FL,11-09-2007
San Simeon,Santa Fe,Michigan,CT,25-09-2008
North Ventu Park Road,Albany,Minnesota,MI,21-03-2008
North Preisker Lane,Annapolis,Minnesota,GA,09-10-2008
Milpas Street,Annapolis,Minnesota,LA,24-08-2007
Pacific Hwy S,Annapolis,Minnesota,CO,14-05-2008
W. Russell St.,Bismarck,Minnesota,TN,05-11-2008
Richmond Hill,Denver,Minnesota,CA,05-05-2008
Moreno Drive,Denver,Minnesota,HI,27-10-2007
Lawrenceville Suwanee,Dover,Minnesota,NY,18-07-2007
Jean de la Fontaine,Helena,Minnesota,WA,26-06-2007
Bailard Avenue,Honolulu,Minnesota,NJ,08-09-2007
Fontaine Road,Lincoln,Minnesota,FL,10-03-2008
Carpinteria North,Montgomery,Minnesota,ID,10-04-2007
Hutchinson Rd,Raleigh,Minnesota,FL,20-12-2007
Woodson Rd.,Saint Paul,Minnesota,PA,27-03-2007
Grandview Drive,Salt Lake City,Minnesota,UT,04-05-2008
Padre Boulevard,Tallahassee,Minnesota,UT,15-09-2008
Bayshore Freeway,Albany,Mississippi,ND,22-04-2008
Bayshore Freeway,Augusta,Mississippi,OH,11-02-2008
Bowles Avenue,Austin,Mississippi,ND,10-11-2007
Grandview Drive,Concord,Mississippi,ME,16-08-2008
Cabrillo Highway,Denver,Mississippi,NE,14-12-2008
Jean de la Fontaine,Juneau,Mississippi,NY,29-04-2008
Monroe Street,Lansing,Mississippi,NM,17-10-2008
Fontaine Road,Montgomery,Mississippi,CA,08-01-2008
French Camp Turnpike Road,Nashville,Mississippi,MD,12-11-2008
Monroe Street,Raleigh,Mississippi,MA,10-03-2007
North Preisker Lane,Salt Lake City,Mississippi,OH,08-12-2008
Jones Road,Augusta,Missouri,AK,19-09-2008
Carpinteria South,Augusta,Missouri,TN,28-04-2007
Tanger Blvd,Bismarck,Missouri,TX,04-08-2007
Richmond Hill,Boise,Missouri,MN,05-04-2008
Hutchinson Rd,Charleston,Missouri,CO,02-04-2008
North Atherton Street,Concord,Missouri,RI,21-08-2008
East Main Street,Des Moines,Missouri,SD,08-12-2008
Santa Rosa South,Frankfort,Missouri,NV,26-10-2008
Lawrenceville Suwanee,Helena,Missouri,SD,14-10-2008
Erringer Road,Honolulu,Missouri,VT,25-05-2008
Pacific Hwy S,Lansing,Missouri,AZ,03-02-2008
Cabrillo Highway,Montpelier,Missouri,KY,18-08-2008
Camelback Rd,Oklahoma City,Missouri,IL,04-09-2007
Tanger Blvd,Providence,Missouri,MN,08-02-2008
Apalachee Parkway,Raleigh,Missouri,GA,28-05-2008
Steele Lane,Richmond,Missouri,NJ,30-12-2008
Santa Rosa South,Santa Fe,Missouri,TN,10-06-2007
South Highway,Topeka,Missouri,DE,27-06-2007
East Fry Blvd.,Atlanta,Montana,SD,03-09-2008
Santa Rosa South,Atlanta,Montana,ND,08-07-2008
Bayshore Freeway,Atlanta,Montana,WI,25-03-2008
