USStreet|USCity|USState|USStateID|Date
North Preisker Lane|Baton Rouge|South Dakota|CA|27-07-2008
San Simeon|Columbus|West Virginia|VT|20-11-2007
Fontaine Road|Lansing|Arizona|NH|14-07-2007
Lake Tahoe Blvd.|Frankfort|Tennessee|IA|12-09-2007
Steele Lane|Annapolis|Minnesota|WV|18-12-2008
Via Real|Santa Fe|Delaware|ID|06-06-2007
North Erringer Road|Boise|New Mexico|ND|30-12-2008
San Marcos|Providence|Vermont|CT|05-10-2007
Bowles Avenue|Providence|Vermont|TX|04-07-2008
Santa Ana Freeway|Lincoln|Arizona|OH|29-11-2008
Fontaine Road|Juneau|West Virginia|TN|21-06-2007
North Erringer Road|Des Moines|Oklahoma|OR|07-09-2008
San Diego Freeway|Hartford|Alabama|ID|04-07-2008
Apalachee Parkway|Denver|Texas|CT|20-07-2008
Greenwood Road|Augusta|New Hampshire|WI|11-07-2007
East 1st Street|Trenton|South Carolina|OH|23-11-2008
W. Russell St.|Trenton|Wisconsin|MN|21-10-2007
Carpinteria North|Tallahassee|Delaware|TX|19-05-2007
Hutchinson Rd|Juneau|Rhode Island|MI|09-03-2007
Fairview Avenue|Pierre|New Hampshire|AK|09-10-2007
San Simeon|Providence|Illinois|GA|24-03-2008
Cleveland Ave.|Dover|Washington|AZ|03-08-2008
Camelback Rd|Providence|Minnesota|MT|13-03-2007
Santa Ana Freeway|Little Rock|Arkansas|PA|12-10-2008
Fontaine Road|Oklahoma City|Wisconsin|AK|13-02-2007
Burnett Road|Honolulu|Mississippi|MT|11-07-2007
French Camp Turnpike Roa|d               Topeka|New Mexico|OR|26-10-2007
Lindbergh Blvd|Oklahoma City|Florida|GA|17-04-2007
Katella Avenue|Montpelier|Massachusetts|NC|01-10-2008
Santa Ana Freeway|Charleston|Maine|NC|12-02-2007
Greenwood Road|Annapolis|South Carolina|ME|07-03-2008
South Highway|Indianapolis|Nevada|ND|08-12-2007
N Kentwood|Atlanta|Massachusetts|TN|03-07-2008
Cerrillos Road|Hartford|Colorado|VA|05-02-2007
San Luis Obispo North|Bismarck|Pennsylvania|HI|18-08-2008
Fontaine Road|Jackson|Delaware|MT|18-11-2008
Cerrillos Road|Oklahoma City|Mississippi|KY|12-02-2007
Lindbergh Blvd|Lincoln|North Carolina|UT|02-03-2007
N Kentwood|Hartford|Utah|PA|08-11-2008
Bayshore Freeway|Richmond|New Hampshire|IL|04-03-2008
Via Real|Frankfort|New York|NM|10-11-2007
North Broadway Street|Tallahassee|Texas|KY|24-07-2008
North Atherton Street|Madison|Missouri|NH|09-08-2007
South Highway|Albany|Illinois|IL|22-05-2008
Monroe Street|Boston|Missouri|CT|17-09-2008
Calle Real|Cheyenne|Arizona|MI|21-12-2008
Carpinteria Avenue|Olympia|Illinois|CO|12-10-2007
Newbury Road|Carson City|Oklahoma|MN|22-04-2008
Camelback Rd|Dover|Tennessee|SD|02-09-2008
Tully Road East|Dover|Idaho|AK|11-07-2008
San Simeon|Boise|Louisiana|NJ|19-05-2007
Jones Road|Montpelier|Illinois|UT|14-01-2008
Via Real|Olympia|New York|NV|16-03-2008
Jones Road|Annapolis|Kentucky|IN|21-10-2007
N Harrison St|Boston|Oregon|WA|11-04-2008
Burnett Road|Annapolis|Utah|ID|08-01-2007
W. Russell St.|Augusta|California|OR|29-07-2008
Timberlane Drive|Charleston|Nevada|KY|22-03-2008
South Highway|Oklahoma City|Nebraska|OR|25-03-2007
Carpinteria Avenue|Lansing|Indiana|IL|27-10-2008
Burnett Road|Richmond|Georgia|FL|21-03-2007
Calle Real|Raleigh|Wisconsin|WA|06-12-2008
San Luis Obispo North|Bismarck|Oregon|MT|29-07-2008
San Luis Obispo North|Charleston|Washington|VT|24-02-2008
Santa Rosa South|Atlanta|Rhode Island|WA|19-09-2008
Milpas Street|Little Rock|Arizona|AK|30-05-2008
North Atherton Street|Olympia|Arizona|MA|13-03-2008
North Erringer Road|Baton Rouge|Wisconsin|OR|16-08-2008
Westside Freeway|Nashville|North Dakota|WY|14-01-2007
South Roosevelt Drive|Saint Paul|Rhode Island|NM|02-06-2007
San Ysidro Blvd|Cheyenne|North Carolina|HI|18-11-2008
Richmond Hill|Helena|Alaska|KS|10-02-2008
San Diego Freeway|Denver|West Virginia|MS|14-07-2008
Greenwood Road|Montgomery|Washington|IN|18-07-2008
Monroe Street|Topeka|Alabama|AR|05-02-2007
Carpinteria South|Boise|Oklahoma|AZ|23-12-2007
South Roosevelt Drive|Atlanta|Nevada|MT|17-03-2007
E Fowler Avenue|Oklahoma City|Texas|OR|04-10-2008
Milpas Street|Salem|New Mexico|ME|27-04-2007
East 1st Street|Carson City|New Hampshire|VA|27-08-2007
El Camino Real|Indianapolis|Nebraska|MS|10-12-2008
Fairview Avenue|Bismarck|Maine|WI|21-07-2008
East Fry Blvd.|Richmond|North Dakota|MT|01-07-2007
East Calle Primera|Carson City|Arizona|IN|06-01-2008
Fairview Avenue|Salem|Delaware|NY|17-03-2007
Cerrillos Road|Augusta|Nebraska|VT|08-01-2007
North Atherton Street|Montgomery|New Mexico|LA|23-02-2007
Corona Del Mar|Indianapolis|Vermont|PA|24-09-2008
E Fowler Avenue|Des Moines|Pennsylvania|MD|26-06-2007
North Erringer Road|Indianapolis|Massachusetts|MD|05-02-2008
Steele Lane|Tallahassee|Idaho|WA|29-05-2008
Erringer Road|Carson City|Kansas|AL|22-07-2007
Santa Rosa South|Nashville|Georgia|AK|27-01-2007
Via Real|Indianapolis|Oregon|IL|14-07-2007
North Atherton Street|Helena|Hawaii|RI|09-03-2008
Redwood Highway|Montpelier|Texas|OK|31-08-2007
San Diego Freeway|Harrisburg|Illinois|OK|18-06-2007
Carpinteria South|Salem|Nevada|RI|18-08-2008
San Simeon|Austin|Illinois|NH|12-10-2007
Cabrillo Highway|Annapolis|Pennsylvania|ND|09-10-2008
Jones Road|Sacramento|South Dakota|MO|16-03-2007
Grandview Drive|Montpelier|New Hampshire|RI|24-10-2007
San Luis Obispo North|Bismarck|Massachusetts|VT|02-11-2007
Moreno Drive|Salem|Maryland|MD|04-05-2008
North Broadway Street|Denver|Missouri|KY|27-08-2007
North Erringer Road|Springfield|Nevada|LA|29-02-2008
North Preisker Lane|Dover|Florida|IN|06-07-2008
Castillo Drive|Cheyenne|Oregon|IA|03-07-2007
French Camp Turnpike Roa|d               Oklahoma City|West Virginia|CT|09-03-2008
Bailard Avenue|Charleston|Arizona|NE|19-09-2008
San Simeon|Richmond|Massachusetts|NV|09-08-2007
South Roosevelt Drive|Madison|Minnesota|SC|05-09-2007
Pacific Hwy S|Nashville|Montana|OH|20-07-2007
San Luis Obispo North|Nashville|Arkansas|OR|03-01-2007
North Broadway Street|Phoenix|Michigan|NY|23-02-2007
Newbury Road|Salem|New Jersey|FL|16-07-2008
N Harrison St|Lansing|New Jersey|MO|21-11-2007
South Roosevelt Drive|Lincoln|North Dakota|RI|17-07-2008
N Kentwood|Helena|Minnesota|LA|03-08-2007
Tully Road East|Augusta|Massachusetts|NV|06-02-2008
Woodson Rd.|Raleigh|Ohio|CT|27-09-2007
Pacific Hwy S|Des Moines|New Hampshire|AL|12-06-2007
Tanger Blvd|Cheyenne|Virginia|OK|04-11-2007
San Simeon|Annapolis|Wisconsin|NV|23-01-2007
Cabrillo Highway|Providence|Nevada|ME|19-08-2007
Castillo Drive|Bismarck|Oklahoma|ME|19-01-2007
Fairview Avenue|Nashville|Minnesota|MA|23-10-2007
North Broadway Street|Helena|Arizona|VT|11-03-2008
Carpinteria South|Concord|Tennessee|LA|16-06-2007
Cabrillo Highway|Juneau|Idaho|GA|28-07-2008
Bayshore Freeway|Boston|Mississippi|OH|23-11-2008
San Simeon|Sacramento|New Jersey|SC|04-07-2007
N Harrison St|Topeka|New York|RI|18-09-2007
French Camp Turnpike Roa|d               Richmond|Nevada|GA|16-02-2007
Fontaine Road|Oklahoma City|New York|MO|15-10-2007
Fairview Avenue|Montgomery|Iowa|AR|01-05-2007
Burnett Road|Lansing|Kansas|ME|15-10-2007
Castillo Drive|Albany|Nebraska|NE|09-04-2008
Pacific Hwy S|Austin|Nevada|MS|25-05-2007
Apalachee Parkway|Saint Paul|Kansas|NJ|16-12-2007
W. Russell St.|Albany|Vermont|SD|10-02-2007
Lake Tahoe Blvd.|Madison|New Hampshire|WI|17-02-2008
S Rustle St|Austin|Texas|MO|21-04-2008
Milpas Street|Augusta|Georgia|OH|17-06-2008
North Ventu Park Road|Juneau|New York|PA|29-08-2007
Cabrillo Highway|Harrisburg|New Mexico|MS|27-07-2008
Tully Road East|Frankfort|South Carolina|AL|08-03-2008
Jones Road|Trenton|Idaho|NY|16-07-2008
Jones Road|Topeka|Arizona|NE|04-08-2008
North Preisker Lane|Juneau|South Carolina|MT|03-07-2007
Santa Ana Freeway|Helena|Iowa|VT|11-10-2007
S Rustle St|Albany|California|NJ|20-10-2007
Tanger Blvd|Boise|Nebraska|RI|19-01-2008
Jones Road|Concord|Louisiana|RI|25-04-2007
Milpas Street|Columbia|Texas|IA|01-11-2007
Tully Road East|Austin|Arizona|WA|14-09-2008
Lawrenceville Suwanee|Austin|Hawaii|MD|30-01-2007
Cleveland Ave.|Denver|Nevada|VT|23-10-2007
Padre Boulevard|Helena|Rhode Island|VT|01-02-2008
Santa Rosa South|Hartford|Oklahoma|DE|18-08-2008
Greenwood Road|Indianapolis|Delaware|HI|22-07-2008
East Calle Primera|Baton Rouge|Maryland|OK|14-06-2007
Moreno Drive|Madison|Massachusetts|HI|29-09-2008
San Marcos|Denver|Utah|CO|20-12-2008
Castillo Drive|Cheyenne|Iowa|MO|08-07-2007
El Camino Real|Montpelier|Wisconsin|IL|04-10-2008
Harry S Truman Blvd|Baton Rouge|Utah|NJ|22-05-2007
East 1st Street|Madison|Kansas|TX|16-12-2008
Carpinteria Avenue|Trenton|Washington|ME|12-10-2008
Erringer Road|Harrisburg|New Mexico|MD|23-10-2007
South Highway|Hartford|South Carolina|NE|03-02-2007
Redwood Highway|Springfield|West Virginia|TN|26-01-2007
South Roosevelt Drive|Dover|Indiana|CA|19-01-2007
Santa Rosa South|Montgomery|Vermont|TN|26-04-2008
South Roosevelt Drive|Oklahoma City|Texas|WV|14-09-2007
Santa Ana Freeway|Springfield|Missouri|NC|03-04-2007
Padre Boulevard|Boise|Washington|SC|14-08-2007
San Marcos|Pierre|Tennessee|OH|17-09-2007
Milpas Street|Augusta|Virginia|CO|12-09-2008
Lindbergh Blvd|Raleigh|Louisiana|LA|13-12-2008
Tully Road East|Boston|New York|CT|26-10-2008
Bayshore Freeway|Austin|New Mexico|MD|16-07-2007
Cleveland Ave.|Columbus|Washington|AR|16-10-2007
East Main Street|Austin|Tennessee|CT|24-12-2008
N Kentwood|Baton Rouge|Connecticut|NH|23-12-2007
North Broadway Street|Charleston|Nevada|WA|12-04-2008
Richmond Hill|Salt Lake City|Alabama|NC|11-08-2007
French Camp Turnpike Roa|d               Sacramento|Vermont|WA|26-08-2007
Bailard Avenue|Madison|New York|IL|07-02-2007
Fairview Avenue|Providence|Nebraska|MO|28-02-2008
Bayshore Freeway|Boise|Louisiana|CT|26-02-2008
Steele Lane|Santa Fe|Illinois|VA|06-03-2007
Burnett Road|Providence|Arizona|NC|15-12-2008
Carpinteria North|Topeka|Maryland|GA|07-10-2007
Tully Road East|Baton Rouge|Texas|OR|01-06-2008
N Harrison St|Annapolis|Connecticut|CO|29-06-2007
Castillo Drive|Santa Fe|Ohio|SD|02-03-2008
Padre Boulevard|Harrisburg|Colorado|AR|27-08-2008
N Kentwood|Madison|Rhode Island|RI|27-08-2007
Redwood Highway|Annapolis|Kansas|OK|04-10-2008
Santa Monica Road|Bismarck|Rhode Island|FL|20-01-2008
N Harrison St|Harrisburg|Ohio|AL|15-10-2008
Lawrenceville Suwanee|Montpelier|Oregon|RI|06-02-2008
South Roosevelt Drive|Carson City|Kansas|AZ|04-08-2007
Burnett Road|Little Rock|Mississippi|TN|30-07-2007
San Ysidro Blvd|Columbia|California|ID|27-09-2008
San Luis Obispo North|Oklahoma City|Florida|DE|31-07-2007
Westside Freeway|Salt Lake City|Ohio|VT|02-11-2008
Grandview Drive|Nashville|South Dakota|VA|18-05-2008
Padre Boulevard|Carson City|West Virginia|FL|23-10-2007
Santa Rosa North|Santa Fe|Virginia|AR|19-06-2007
Tanger Blvd|Montpelier|Georgia|WV|16-02-2007
Monroe Street|Hartford|South Carolina|TX|27-03-2007
Fairview Avenue|Raleigh|Hawaii|AZ|06-01-2007
W. Russell St.|Frankfort|Delaware|MD|24-08-2007
Harry S Truman Blvd|Frankfort|Missouri|AL|26-09-2007
Cerrillos Road|Springfield|Minnesota|PA|28-06-2008
Westside Freeway|Lansing|New Hampshire|NV|07-09-2007
Redwood Highway|Columbia|Louisiana|TX|25-11-2008
Pacific Hwy S|Pierre|Pennsylvania|MT|04-06-2007
Padre Boulevard|Saint Paul|Delaware|FL|28-12-2007
Steele Lane|Raleigh|Montana|VT|16-10-2008
Pacific Hwy S|Trenton|Mississippi|CT|17-10-2008
East 1st Street|Providence|Illinois|SC|02-12-2007
French Camp Turnpike Roa|d               Dover|Michigan|WI|05-11-2008
Katella Avenue|Cheyenne|New Hampshire|WV|09-09-2008
Katella Avenue|Pierre|Indiana|DE|10-08-2007
Cleveland Ave.|Trenton|Kentucky|WI|12-03-2008
Woodson Rd.|Dover|Alaska|KY|26-01-2008
Katella Avenue|Raleigh|Vermont|CO|06-10-2007
Cabrillo Highway|Trenton|Louisiana|AK|26-03-2008
El Camino Real|Boise|Kansas|ND|19-08-2008
Bowles Avenue|Lincoln|Vermont|MI|27-05-2007
Katella Avenue|Madison|Oklahoma|NH|31-10-2007
Newbury Road|Bismarck|Illinois|KY|27-11-2007
San Simeon|Richmond|Vermont|VT|27-01-2008
Fontaine Road|Montgomery|Iowa|VT|12-02-2008
Richmond Hill|Santa Fe|Oklahoma|AL|14-07-2007
Harbor Dr|Jackson|Massachusetts|UT|16-08-2008
San Simeon|Montgomery|Tennessee|WI|21-05-2008
S Rustle St|Jefferson City|Delaware|AR|04-06-2007
W. Russell St.|Springfield|Nebraska|IL|17-10-2008
Bailard Avenue|Topeka|Mississippi|NE|23-11-2008
Grandview Drive|Montpelier|Massachusetts|HI|08-10-2007
San Ysidro Blvd|Annapolis|Maryland|NM|28-02-2008
Tully Road East|Augusta|Utah|HI|15-09-2007
Woodson Rd.|Boston|Oklahoma|ND|28-10-2007
Castillo Drive|Charleston|Texas|AR|29-01-2008
Hutchinson Rd|Jefferson City|Utah|SD|17-01-2007
French Camp Turnpike Roa|d               Montpelier|Rhode Island|IA|30-05-2007
North Broadway Street|Phoenix|South Carolina|WA|14-01-2008
San Simeon|Annapolis|Montana|CO|11-12-2008
San Diego Freeway|Columbus|South Carolina|IA|09-04-2008
Santa Ana Freeway|Salem|Louisiana|ID|28-07-2007
Newbury Road|Annapolis|Maine|WA|01-02-2008
Jones Road|Baton Rouge|New Hampshire|WV|11-12-2007
Fairview Avenue|Columbia|Maryland|CT|11-08-2008
Erringer Road|Baton Rouge|Ohio|OH|11-12-2007
Hutchinson Rd|Montpelier|Arizona|AR|29-10-2007
Erringer Road|Columbia|Georgia|CO|14-03-2008
French Camp Turnpike Roa|d               Madison|Virginia|DE|17-03-2007
Milpas Street|Harrisburg|Ohio|TN|25-12-2008
Carpinteria Avenue|Pierre|Indiana|AZ|11-03-2008
Santa Rosa South|Austin|West Virginia|NV|01-02-2008
Harbor Dr|Albany|Florida|OR|22-04-2008
North Erringer Road|Concord|Massachusetts|NJ|23-02-2008
Via Real|Annapolis|Indiana|MS|27-04-2007
Lindbergh Blvd|Baton Rouge|Ohio|NY|10-03-2008
Redwood Highway|Oklahoma City|Oregon|CO|27-10-2007
Hutchinson Rd|Phoenix|North Dakota|NV|07-08-2008
Carpinteria North|Frankfort|Vermont|NY|06-05-2008
Santa Ana Freeway|Denver|Alabama|MI|22-10-2008
Santa Monica Road|Jackson|Vermont|FL|14-03-2007
Castillo Drive|Saint Paul|California|GA|14-04-2007
East Fry Blvd.|Augusta|Georgia|MS|14-07-2008
French Camp Turnpike Roa|d               Denver|Alabama|AL|29-04-2008
East Fry Blvd.|Little Rock|Oklahoma|AK|25-07-2008
Corona Del Mar|Jackson|Kentucky|MN|31-12-2007
Steele Lane|Dover|Michigan|IL|13-04-2008
Cerrillos Road|Augusta|Michigan|VT|11-06-2007
North Ventu Park Road|Saint Paul|Connecticut|RI|10-02-2007
San Diego Freeway|Montpelier|Utah|MN|17-02-2008
San Marcos|Juneau|Delaware|SD|06-07-2008
Castillo Drive|Columbia|Montana|NV|28-01-2008
Burnett Road|Trenton|Massachusetts|VA|29-10-2008
East Main Street|Denver|Michigan|WI|31-10-2008
East Main Street|Topeka|Ohio|IA|20-07-2007
Redwood Highway|Columbus|North Carolina|NM|10-12-2008
Pacific Hwy S|Salt Lake City|Wisconsin|ID|01-07-2007
El Camino Real|Annapolis|Maine|MO|11-03-2008
South Roosevelt Drive|Atlanta|North Carolina|DE|13-02-2008
North Ventu Park Road|Topeka|Connecticut|UT|10-04-2008
Carpinteria Avenue|Nashville|Utah|ND|29-05-2008
Lindbergh Blvd|Providence|Massachusetts|SD|11-08-2008
East Calle Primera|Lincoln|Wyoming|AZ|12-04-2007
Carpinteria North|Annapolis|Minnesota|MD|18-12-2007
Lake Tahoe Blvd.|Madison|Wisconsin|NM|04-10-2007
Cerrillos Road|Hartford|Vermont|NM|23-01-2008
Lindbergh Blvd|Lansing|Idaho|ME|24-04-2007
Lindbergh Blvd|Denver|Connecticut|CT|02-07-2008
Santa Rosa South|Albany|Missouri|FL|13-12-2007
Via Real|Honolulu|Connecticut|OR|10-03-2007
S Rustle St|Raleigh|Hawaii|NJ|11-06-2007
Via Real|Des Moines|California|IN|08-08-2008
Milpas Street|Springfield|Oklahoma|FL|22-01-2008
Pacific Hwy S|Tallahassee|Alabama|MO|16-03-2007
San Diego Freeway|Saint Paul|North Dakota|RI|24-12-2008
San Luis Obispo North|Indianapolis|North Carolina|CA|04-12-2008
Lindbergh Blvd|Columbia|North Dakota|WI|26-07-2007
Castillo Drive|Annapolis|Nevada|AZ|02-08-2008
Santa Rosa South|Indianapolis|Arkansas|TN|03-01-2008
Carpinteria North|Columbia|Delaware|NV|19-08-2008
E Fowler Avenue|Raleigh|South Dakota|TX|30-03-2008
Apalachee Parkway|Providence|Oregon|WV|29-01-2008
Woodson Rd.|Juneau|South Dakota|CA|09-02-2008
Harry S Truman Blvd|Topeka|West Virginia|MN|27-08-2007
Santa Ana Freeway|Dover|Texas|NH|03-07-2007
San Diego Freeway|Bismarck|New Hampshire|OK|31-03-2007
Woodson Rd.|Baton Rouge|Arizona|NJ|22-10-2008
Grandview Drive|Helena|Wyoming|IA|27-04-2007
Padre Boulevard|Tallahassee|Pennsylvania|AL|24-10-2008
East Calle Primera|Boise|Indiana|LA|02-12-2007
Padre Boulevard|Boston|New Mexico|MA|11-04-2007
San Diego Freeway|Columbus|Nevada|IA|02-01-2007
North Preisker Lane|Des Moines|Kansas|VT|28-01-2007
Timberlane Drive|Lansing|Illinois|RI|16-04-2008
Cerrillos Road|Albany|Nebraska|MI|11-09-2007
El Camino Real|Augusta|Michigan|WV|27-08-2008
Lawrenceville Suwanee|Denver|Massachusetts|MS|09-07-2008
East Main Street|Springfield|Delaware|MD|12-01-2008
North Preisker Lane|Albany|North Carolina|RI|08-05-2008
Erringer Road|Providence|Virginia|WA|05-10-2008
Timberlane Drive|Des Moines|Louisiana|SD|20-09-2008
Santa Rosa North|Lansing|Oregon|NC|13-12-2007
Moreno Drive|Frankfort|Nebraska|OH|26-09-2008
Corona Del Mar|Salt Lake City|Louisiana|MO|21-03-2008
Lindbergh Blvd|Providence|Oregon|MO|06-09-2007
Harbor Dr|Raleigh|Louisiana|IA|10-12-2008
Richmond Hill|Boston|Delaware|VA|21-05-2008
Pacific Hwy S|Saint Paul|Texas|MI|13-10-2008
Katella Avenue|Columbus|Mississippi|CA|31-05-2008
Santa Rosa North|Indianapolis|California|MT|31-08-2008
French Camp Turnpike Roa|d               Jackson|Pennsylvania|MD|01-01-2007
S Rustle St|Des Moines|Maine|FL|29-04-2008
Bailard Avenue|Boston|Arkansas|NV|26-08-2008
French Camp Turnpike Roa|d               Austin|Tennessee|RI|21-04-2008
East Main Street|Salt Lake City|Mississippi|KS|13-06-2008
Corona Del Mar|Trenton|Texas|NH|13-01-2008
Greenwood Road|Saint Paul|Minnesota|MN|26-03-2008
Fairview Avenue|Santa Fe|South Carolina|IA|02-02-2008
Cerrillos Road|Atlanta|Texas|PA|22-09-2008
Santa Ana Freeway|Richmond|Florida|IA|10-10-2008
Grandview Drive|Dover|Illinois|IN|06-08-2007
South Roosevelt Drive|Lansing|Wyoming|VT|26-10-2008
N Kentwood|Albany|Arkansas|AK|14-07-2008
Richmond Hill|Salt Lake City|Ohio|GA|16-06-2007
Carpinteria North|Atlanta|Rhode Island|OH|08-06-2007
Lake Tahoe Blvd.|Saint Paul|Ohio|IA|14-06-2007
Redwood Highway|Saint Paul|Texas|HI|24-05-2008
Bayshore Freeway|Little Rock|Alabama|MA|09-11-2008
Santa Rosa North|Boise|Utah|AR|28-12-2007
Westside Freeway|Montgomery|South Carolina|WI|18-02-2008
Carpinteria South|Providence|Rhode Island|ME|02-04-2008
Monroe Street|Baton Rouge|New Mexico|NC|09-09-2008
Moreno Drive|Trenton|Alaska|CT|13-09-2008
French Camp Turnpike Roa|d               Hartford|Rhode Island|MO|07-07-2007
Corona Del Mar|Trenton|Wisconsin|CA|23-07-2008
Padre Boulevard|Jefferson City|Alaska|KS|25-11-2008
Redwood Highway|Pierre|Indiana|SD|03-01-2007
North Erringer Road|Annapolis|Wisconsin|VA|21-12-2008
San Simeon|Olympia|Iowa|NY|25-05-2007
Hutchinson Rd|Richmond|Rhode Island|PA|10-02-2007
Burnett Road|Springfield|Colorado|AZ|28-12-2008
S Rustle St|Indianapolis|Iowa|ID|23-08-2008
Erringer Road|Pierre|Maryland|AR|04-11-2008
Pacific Hwy S|Richmond|Nevada|PA|13-01-2008
Lake Tahoe Blvd.|Bismarck|Minnesota|ID|25-03-2008
Lake Tahoe Blvd.|Madison|Vermont|WI|04-06-2008
North Preisker Lane|Sacramento|Nevada|WV|11-02-2007
Jean de la Fontaine|Hartford|Maine|LA|21-02-2008
Jones Road|Saint Paul|Oklahoma|MO|03-09-2008
Carpinteria Avenue|Richmond|Arizona|WA|12-02-2008
Bailard Avenue|Raleigh|Oklahoma|NE|24-01-2007
Richmond Hill|Jefferson City|Michigan|MI|10-06-2007
South Roosevelt Drive|Atlanta|Oklahoma|WY|18-10-2008
Steele Lane|Baton Rouge|Georgia|WY|05-09-2007
North Erringer Road|Austin|Wisconsin|IA|26-10-2008
North Erringer Road|Bismarck|Vermont|ME|07-05-2008
Jean de la Fontaine|Olympia|Colorado|TX|12-04-2007
N Kentwood|Montpelier|North Carolina|OR|05-04-2008
W. Russell St.|Pierre|Idaho|AZ|02-11-2007
